Group,Include,Mechanical-N,Mechanical-Success,Mechanical-Isolation,Mechanical-Tactile-N,Mechanical-Tactile-Success,Mechanical-Tactile-Isolation,Oviposition-N,Oviposition-Success,Oviposition-Isolation,Fecundity-N,Fecundity-Success,Fecundity-Isolation,Fertility-N,Fertility-Success,Fertility-Isolation
Conspecifics-elegansXelegans-LaxeXLaxe,Y,41,34.00,0.171,34,25.00,0.265,28,25,0.107,25,89.5,0.683,25,0.737,0.263
Conspecifics-graellsiiXgraellsii-LaxeXCachadas,Y,3,2.00,0.333,2,1.00,0.500,0,0,NA,0,NA,NA,0,NA,NA
Conspecifics-graellsiiXgraellsii-MontalvoXMontalvo,Y,10,10.00,0.000,10,10.00,0.000,12,12,0.000,12,91.9,0.675,12,0.488,0.512
Heterospecifics-elegansXgraellsii-LaxeXCachadas,Y,60,48.00,0.200,48,39.00,0.188,53,50,0.057,50,79.9,0.717,50,0.565,0.435
Heterospecifics-elegansXgraellsii-LaxeXMontalvo,Y,34,25.00,0.265,25,18.00,0.280,13,13,0.000,13,103.6,0.633,13,0.549,0.451
Heterospecifics-graellsiiXelegans-CachadasXLaxe,Y,19,2.00,0.895,2,1.00,0.500,0,0,NA,0,NA,NA,0,NA,NA
Postzygotics-elegansXhybrid-SymEleX(H:LaxeXCachadas),Y,4,4.00,0.000,4,4.00,0.000,4,4,0.000,4,6.8,0.976,4,0.733,0.267
Postzygotics-elegansXhybrid-SymEleX(H:LaxeXMontalvo),Y,15,11.00,0.267,11,10.00,0.091,11,9,0.182,9,124.3,0.560,9,0.649,0.351
Postzygotics-graellsiiXhybrid-SymGraX(H:LaxeXMontalvo),Y,1,1.00,0.000,1,1.00,0.000,1,1,0.000,1,38.7,0.863,1,0.138,0.862
Postzygotics-hybridXelegans-(H:LaxeXMontalvo)XSymEle,Y,8,3.00,0.625,3,2.00,0.333,2,2,0.000,2,71.2,0.748,2,0.492,0.508
Postzygotics-hybridXgraellsii-(H:LaxeXMontalvo)XSymGra,Y,5,5.00,0.000,5,4.00,0.200,4,4,0.000,4,110.4,0.609,4,0.072,0.928
Postzygotics-hybridXhybrid-(H:LaxeXMontalvo)X(H:LaxeXMontalvo),Y,18,16.00,0.111,16,16.00,0.000,20,17,0.150,17,69.3,0.755,17,0.199,0.801
0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
